File,ML algorithm,accuracy,Precision,Recall,F1-score,Time
Infiltration,Nearest Neighbors,0.8333333333333334,0.8166969147005445,0.8311195445920303,0.8222222222222222,0.09196019172668457
Infiltration,Nearest Neighbors,0.8333333333333334,0.8166969147005445,0.8311195445920303,0.8222222222222222,0.08035659790039062
Infiltration,Nearest Neighbors,0.8333333333333334,0.8166969147005445,0.8311195445920303,0.8222222222222222,0.06475305557250977
Infiltration,Nearest Neighbors,0.8333333333333334,0.8166969147005445,0.8311195445920303,0.8222222222222222,0.09541630744934082
Bot,Naive Bayes,0.551487414187643,0.6980935774306045,0.6796994884910486,0.5506379585326953,0.016654014587402344
Bot,Naive Bayes,0.551487414187643,0.6980935774306045,0.6796994884910486,0.5506379585326953,0.015544652938842773
Bot,Naive Bayes,0.551487414187643,0.6980935774306045,0.6796994884910486,0.5506379585326953,0.016112327575683594
Bot,Naive Bayes,0.551487414187643,0.6980935774306045,0.6796994884910486,0.5506379585326953,0.015845060348510742
Bot,Naive Bayes,0.551487414187643,0.6980935774306045,0.6796994884910486,0.5506379585326953,0.015455007553100586
Bot,Naive Bayes,0.551487414187643,0.6980935774306045,0.6796994884910486,0.5506379585326953,0.015676021575927734
Bot,Naive Bayes,0.551487414187643,0.6980935774306045,0.6796994884910486,0.5506379585326953,0.016068458557128906
Bot,Naive Bayes,0.551487414187643,0.6980935774306045,0.6796994884910486,0.5506379585326953,0.01653766632080078
Bot,Naive Bayes,0.551487414187643,0.6980935774306045,0.6796994884910486,0.5506379585326953,0.018755435943603516
Bot,Naive Bayes,0.551487414187643,0.6980935774306045,0.6796994884910486,0.5506379585326953,0.02052617073059082
Bot,Random Forest,0.967581998474447,0.9544324157835298,0.9706521739130435,0.9619729953155138,0.05189013481140137
Bot,Random Forest,0.954233409610984,0.9442098280913162,0.9468030690537084,0.9454921917876564,0.053835153579711914
Bot,Random Forest,0.9565217391304348,0.9440628146857906,0.9535805626598466,0.9486244650315395,0.04868340492248535
Bot,Random Forest,0.9622425629290617,0.9513932839718577,0.959494884910486,0.9553052406291889,0.06266546249389648
Bot,Random Forest,0.9588100686498856,0.9464936074449348,0.9566815856777494,0.9513627819548873,0.05403709411621094
Bot,Random Forest,0.959954233409611,0.9484532462635942,0.9571291560102302,0.9526301363593426,0.051657676696777344
Bot,Random Forest,0.9595728451563692,0.9494439223057645,0.9546515345268543,0.9519906307003483,0.04840660095214844
Bot,Random Forest,0.954233409610984,0.9426228385081252,0.9490089514066496,0.9457277694982613,0.04827380180358887
Bot,Random Forest,0.9603356216628528,0.9487736080451312,0.9577685421994886,0.9530979101421676,0.05139946937561035
Bot,Random Forest,0.9607170099160945,0.9498624105668685,0.9573049872122762,0.953466252927679,0.048630475997924805
Bot,SVM,0.5881006864988558,0.34972442441355345,0.4230658567774936,0.3796100501173846,0.21531105041503906
Bot,SVM,0.4786422578184592,0.31774581904251886,0.34507672634271097,0.33061716152201986,0.2420368194580078
Bot,SVM,0.4469870327993898,0.6260831043527134,0.58980179028133,0.4394518337572695,0.25097012519836426
Bot,SVM,0.446605644546148,0.5790575825710242,0.5667359335038363,0.443955918360427,0.24692344665527344
Bot,SVM,0.4935163996948894,0.44425595164975556,0.43692455242966755,0.4371120261546102,0.24162578582763672
Bot,SVM,0.32799389778794813,0.5133720930232558,0.5039162404092071,0.28954060291715056,0.2336263656616211
Bot,SVM,0.6853546910755148,0.42852490742291444,0.4919916879795396,0.41806300786488587,0.23941445350646973
Bot,SVM,0.4874141876430206,0.5155656124700467,0.5182384910485933,0.47822286186402274,0.26376795768737793
Bot,SVM,0.3916857360793288,0.31322192862091486,0.2974584398976982,0.3047873388240985,0.2371203899383545
Bot,SVM,0.6136536994660564,0.3571198126095365,0.4409047314578005,0.3894003236349367,0.23672747611999512
Bot,Nearest Neighbors,0.9660564454614798,0.9536004451864218,0.9673593350383631,0.9600732908455394,0.3123190402984619
Bot,Nearest Neighbors,0.9660564454614798,0.9536004451864218,0.9673593350383631,0.9600732908455394,0.2773258686065674
Bot,Nearest Neighbors,0.9660564454614798,0.9536004451864218,0.9673593350383631,0.9600732908455394,0.2799103260040283
