File,ML algorithm,accuracy,Precision,Recall,F1-score,Time
Heartbleed,Naive Bayes,1.0,1.0,1.0,1.0,0.020216703414916992
Heartbleed,Naive Bayes,1.0,1.0,1.0,1.0,0.010391473770141602
Heartbleed,Naive Bayes,1.0,1.0,1.0,1.0,0.010058403015136719
Heartbleed,Naive Bayes,1.0,1.0,1.0,1.0,0.009647369384765625
Heartbleed,Naive Bayes,1.0,1.0,1.0,1.0,0.009919881820678711
Heartbleed,Naive Bayes,1.0,1.0,1.0,1.0,0.010111808776855469
Heartbleed,Naive Bayes,1.0,1.0,1.0,1.0,0.009993314743041992
Heartbleed,Naive Bayes,1.0,1.0,1.0,1.0,0.009871721267700195
Heartbleed,Naive Bayes,1.0,1.0,1.0,1.0,0.00996255874633789
Heartbleed,Naive Bayes,1.0,1.0,1.0,1.0,0.010626554489135742
Heartbleed,Random Forest,1.0,1.0,1.0,1.0,0.028102636337280273
Heartbleed,Random Forest,1.0,1.0,1.0,1.0,0.03219890594482422
Heartbleed,Random Forest,1.0,1.0,1.0,1.0,0.026749134063720703
Heartbleed,Random Forest,1.0,1.0,1.0,1.0,0.03194832801818848
Heartbleed,Random Forest,1.0,1.0,1.0,1.0,0.030417442321777344
Heartbleed,Random Forest,1.0,1.0,1.0,1.0,0.02998805046081543
Heartbleed,Random Forest,1.0,1.0,1.0,1.0,0.028319597244262695
Heartbleed,Random Forest,1.0,1.0,1.0,1.0,0.025816679000854492
Heartbleed,Random Forest,1.0,1.0,1.0,1.0,0.025774240493774414
Heartbleed,Random Forest,1.0,1.0,1.0,1.0,0.025789737701416016
Heartbleed,SVM,1.0,1.0,1.0,1.0,0.015750885009765625
Heartbleed,SVM,1.0,1.0,1.0,1.0,0.009988069534301758
Heartbleed,SVM,1.0,1.0,1.0,1.0,0.009958267211914062
Heartbleed,SVM,1.0,1.0,1.0,1.0,0.011052131652832031
Heartbleed,SVM,1.0,1.0,1.0,1.0,0.010486841201782227
Heartbleed,SVM,1.0,1.0,1.0,1.0,0.009913921356201172
Heartbleed,SVM,1.0,1.0,1.0,1.0,0.018375396728515625
Heartbleed,SVM,1.0,1.0,1.0,1.0,0.013163089752197266
Heartbleed,SVM,1.0,1.0,1.0,1.0,0.010314464569091797
Heartbleed,SVM,1.0,1.0,1.0,1.0,0.012557506561279297
Heartbleed,Nearest Neighbors,1.0,1.0,1.0,1.0,0.01647663116455078
Heartbleed,Nearest Neighbors,1.0,1.0,1.0,1.0,0.014942169189453125
Heartbleed,Nearest Neighbors,1.0,1.0,1.0,1.0,0.013138055801391602
Heartbleed,Nearest Neighbors,1.0,1.0,1.0,1.0,0.013957738876342773
Heartbleed,Nearest Neighbors,1.0,1.0,1.0,1.0,0.021224498748779297
Heartbleed,Nearest Neighbors,1.0,1.0,1.0,1.0,0.01407623291015625
Heartbleed,Nearest Neighbors,1.0,1.0,1.0,1.0,0.013682365417480469
Heartbleed,Nearest Neighbors,1.0,1.0,1.0,1.0,0.01358342170715332
Heartbleed,Nearest Neighbors,1.0,1.0,1.0,1.0,0.013562917709350586
Heartbleed,Nearest Neighbors,1.0,1.0,1.0,1.0,0.013386964797973633
Infiltration,Naive Bayes,0.875,0.9117647058823529,0.85,0.8633776091081593,0.013887405395507812
Infiltration,Naive Bayes,0.875,0.9117647058823529,0.85,0.8633776091081593,0.011362075805664062
Infiltration,Naive Bayes,0.875,0.9117647058823529,0.85,0.8633776091081593,0.011876106262207031
Infiltration,Naive Bayes,0.875,0.9117647058823529,0.85,0.8633776091081593,0.011044025421142578
Infiltration,Naive Bayes,0.875,0.9117647058823529,0.85,0.8633776091081593,0.010490894317626953
